db_id,table,column,sqlite_type,row_count,distinct_count,null_count,null_pct,is_pk,cardinality_ratio
perpetrator,perpetrator,Perpetrator_ID,INT,5,5,0,0.0,1,1.0
perpetrator,perpetrator,People_ID,INT,5,5,0,0.0,0,1.0
perpetrator,perpetrator,Date,TEXT,5,5,0,0.0,0,1.0
perpetrator,perpetrator,Year,REAL,5,5,0,0.0,0,1.0
perpetrator,perpetrator,Location,TEXT,5,5,0,0.0,0,1.0
perpetrator,perpetrator,Country,TEXT,5,4,0,0.0,0,0.8
perpetrator,perpetrator,Killed,INT,5,5,0,0.0,0,1.0
perpetrator,perpetrator,Injured,INT,5,5,0,0.0,0,1.0
perpetrator,people,People_ID,INT,11,11,0,0.0,1,1.0
perpetrator,people,Name,TEXT,11,11,0,0.0,0,1.0
perpetrator,people,Height,REAL,11,7,0,0.0,0,0.6364
perpetrator,people,Weight,REAL,11,8,0,0.0,0,0.7273
perpetrator,people,Home Town,TEXT,11,10,0,0.0,0,0.9091
college_2,classroom,building,varchar(15),30,20,0,0.0,1,0.6667
college_2,classroom,room_number,varchar(7),30,27,0,0.0,1,0.9
college_2,classroom,capacity,"numeric(4,0)",30,25,0,0.0,0,0.8333
college_2,department,dept_name,varchar(20),20,20,0,0.0,1,1.0
college_2,department,building,varchar(15),20,16,0,0.0,0,0.8
college_2,department,budget,"numeric(12,2)",20,20,0,0.0,0,1.0
college_2,course,course_id,varchar(8),200,200,0,0.0,1,1.0
college_2,course,title,varchar(50),200,133,0,0.0,0,0.665
college_2,course,dept_name,varchar(20),200,20,0,0.0,0,0.1
college_2,course,credits,"numeric(2,0)",200,2,0,0.0,0,0.01
college_2,instructor,ID,varchar(5),50,50,0,0.0,1,1.0
college_2,instructor,name,varchar(20),50,50,0,0.0,0,1.0
college_2,instructor,dept_name,varchar(20),50,17,0,0.0,0,0.34
college_2,instructor,salary,"numeric(8,2)",50,50,0,0.0,0,1.0
college_2,section,course_id,varchar(8),100,85,0,0.0,1,0.85
college_2,section,sec_id,varchar(8),100,3,0,0.0,1,0.03
college_2,section,semester,varchar(6),100,2,0,0.0,1,0.02
college_2,section,year,"numeric(4,0)",100,10,0,0.0,1,0.1
college_2,section,building,varchar(15),100,18,0,0.0,0,0.18
college_2,section,room_number,varchar(7),100,25,0,0.0,0,0.25
college_2,section,time_slot_id,varchar(4),100,16,0,0.0,0,0.16
college_2,teaches,ID,varchar(5),100,31,0,0.0,1,0.31
college_2,teaches,course_id,varchar(8),100,85,0,0.0,1,0.85
college_2,teaches,sec_id,varchar(8),100,3,0,0.0,1,0.03
college_2,teaches,semester,varchar(6),100,2,0,0.0,1,0.02
college_2,teaches,year,"numeric(4,0)",100,10,0,0.0,1,0.1
college_2,student,ID,varchar(5),2000,2000,0,0.0,1,1.0
college_2,student,name,varchar(20),2000,1568,0,0.0,0,0.784
college_2,student,dept_name,varchar(20),2000,20,0,0.0,0,0.01
college_2,student,tot_cred,"numeric(3,0)",2000,130,0,0.0,0,0.065
college_2,takes,ID,varchar(5),30000,2000,0,0.0,1,0.0667
college_2,takes,course_id,varchar(8),30000,85,0,0.0,1,0.0028
college_2,takes,sec_id,varchar(8),30000,3,0,0.0,1,0.0001
college_2,takes,semester,varchar(6),30000,2,0,0.0,1,0.0001
college_2,takes,year,"numeric(4,0)",30000,10,0,0.0,1,0.0003
college_2,takes,grade,varchar(2),30000,9,0,0.0,0,0.0003
college_2,advisor,s_ID,varchar(5),2000,2000,0,0.0,1,1.0
college_2,advisor,i_ID,varchar(5),2000,50,0,0.0,0,0.025
college_2,time_slot,time_slot_id,varchar(4),20,8,0,0.0,1,0.4
